id,pretengrant_total,pretenpubR1,pretenpubR2,pretenpubR3,pretenpub_total3,tenurejobtop30,tenurejobtop50,tenurejobtop100,tenurejobtop200,tenurejobtop201,firstjobtop10,firstjobtop20,firstjobtop40,firstjobtop41_100,firstjobtop201,acadfirstjob,treat,phdyr,phd_forn,top10phd,top20phd,top40phd,tenure2,cohortc,reapplied,tensamp,tenstream,tenstreamtop,nonacadlastjob,firsttimec,yrsphd8,yrsphd9,yrsphd10,yrsphd11,yrsphd12,yrsphd13,yrsphd14,yrsphd15,yrsphd16
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2005,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
60,0,0,2,2,4,0,0,0,0,0,0,0,0,1,0,1,0,2004,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
61,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,2004,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
62,1,2,7,2,11,1,1,1,1,0,1,0,0,0,0,1,1,2003,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
63,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2001,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
65,0,1,9,2,12,0,0,0,0,0,0,1,0,0,0,1,0,2005,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
66,0,0,1,6,7,0,0,0,0,1,0,0,0,1,0,1,0,1996,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
67,0,0,5,12,17,0,0,0,0,1,0,0,0,0,1,1,1,1999,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
68,0,1,3,1,5,1,1,1,1,0,0,1,0,0,0,1,0,2000,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
69,0,0,4,12,16,0,0,0,0,0,0,0,0,0,0,1,1,2002,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
70,1,1,9,7,17,1,1,1,1,0,0,0,0,1,0,1,1,1998,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2000,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
72,0,0,1,4,5,0,0,0,0,1,0,0,0,0,1,0,1,1999,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
73,0,1,3,6,10,0,0,1,1,0,0,0,0,1,0,1,0,1996,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
74,1,0,3,3,6,0,0,0,0,1,1,0,0,0,0,1,1,2003,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
75,0,0,0,4,4,0,0,0,0,1,0,0,0,0,1,1,0,2000,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
76,3,1,6,11,18,0,0,0,1,0,0,0,0,0,1,0,1,1998,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
77,0,0,0,5,5,0,0,0,0,1,0,0,0,0,1,1,0,2003,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
78,1,2,2,2,6,0,0,0,0,0,0,1,0,0,0,1,0,2001,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
79,0,0,3,13,16,0,0,0,1,0,0,0,0,0,1,1,1,1999,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
80,1,1,9,1,11,0,0,1,1,0,0,0,0,1,0,1,0,2003,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
81,1,0,5,8,13,0,0,0,0,0,0,0,0,0,0,1,1,2001,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
82,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,1,0,2,5,7,1,1,1,1,0,1,0,0,0,0,1,1,1997,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
85,0,0,5,12,17,0,0,1,1,0,0,0,0,1,0,1,1,2000,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
86,0,0,1,5,6,0,0,0,0,0,0,0,0,1,0,1,0,2003,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
87,2,6,3,7,16,1,1,1,1,0,0,1,0,0,0,1,1,1996,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
88,0,0,4,22,26,0,0,0,0,0,1,0,0,0,0,1,1,2001,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
89,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2003,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
90,0,0,7,12,19,0,0,0,0,0,0,0,0,0,0,1,0,2001,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2002,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
92,0,1,4,1,6,0,0,0,0,0,0,0,1,0,0,1,1,2002,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
93,0,0,0,9,9,0,0,0,0,0,0,0,0,1,0,1,0,2002,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
94,0,0,1,2,3,0,0,0,0,1,0,0,0,0,1,1,0,2003,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
95,1,1,2,4,7,1,1,1,1,0,0,0,0,1,0,1,1,1999,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
96,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,1,2000,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
97,2,5,5,0,10,1,1,1,1,0,1,0,0,0,0,1,0,2001,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
98,0,0,1,15,16,0,0,0,0,0,0,0,0,0,0,1,1,2002,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
99,1,1,6,8,15,0,0,0,0,0,1,0,0,0,0,1,1,2000,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
100,0,0,8,16,24,0,0,0,0,0,1,0,0,0,0,1,0,2002,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
101,0,0,0,15,15,0,0,0,0,0,0,0,0,1,0,0,1,2001,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
102,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,2000,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
103,0,1,6,5,12,0,0,0,0,0,0,0,0,0,1,0,1,2003,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
104,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,1,0,2002,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
105,0,0,2,5,7,0,0,0,1,0,0,0,0,0,0,1,1,2001,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
106,0,0,3,3,6,0,0,0,0,0,0,0,1,0,0,0,0,1999,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
107,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,1998,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
